title,description,class
Vodafone launches second phone-form BlackBerry,"Research In Motion and Vodafone have released the BlackBerry 7100v, available exclusively for Vodafones subscribers. Like the 7100t launched earlier this month with T-Mobile USA Inc.",Sci/Tech
New GameSpy terms threaten Mac to PC online gaming (MacCentral),"MacCentral - New software licensing fees dictated by GameSpy Industries Inc. may make it impossible for Mac game publishers to let their forthcoming games play against their PC counterparts. GameSpy's licensing fees have increased by a factor of five to ten in recent months, an amount that Mac game publishers say is unreasonable to expect them to pay.",Sci/Tech
More than just tennis,The atmosphere suits certain players. While others have to learn to deal with the unique situations that a New York crowd promote.,Sports
Rams make statement they #39;re team to beat in NFC West,"ST. LOUIS -- When St. Louis coach Mike Martz last week publicly chastised his team, he admonished players to make something happen and to do it immediately.",Sports
'Amazing' Viking cemetery found,Archaeologists unearth what is believed to be the first discovery of a Viking burial site in the UK.,Sci/Tech
Bush Asked to Stop Using 'Still the One' (AP),"AP - The songwriter who helped pen the 1970s hit, ""Still the One,"" is demanding that President Bush stop using the tune at campaign events, arguing that he's no fan of the Republican incumbent and the campaign never got permission to use the song.",World
Europe awaits US poll verdict,"European shares edged higher Tuesday, with easing oil prices underpinning market sentiment, but investors were cautious ahead of a neck-and-neck race in the US presidential elections.",Business
O #39;Neal might return tonight,"Center Shaquille O #39;Neal missed his third exhibition game Tuesday because of a strained left hamstring, but could play in tonight #39;s exhibition finale at Orlando.",Sports
CA offers usage-based pricing for mainframe tools,"Computer Associates International Inc. (CA) introduced a usage-based pricing and licensing option for its mainframe management products on Thursday, aligning its offerings with IBM Corp.'s On Demand model.",Sci/Tech
Card fraud shows sharp increase,"Credit and debit card fraud rose by nearly a fifth to 478.8m in the year up to July, an industry body says.",Sci/Tech
Microsoft FAT patent falls flat,"Patent office rejects one of four patents on File Allocation Table format for Windows, though Microsoft can appeal.\",Sci/Tech
AMD demos first dual-core processor,"Advanced Micro Devices Inc. (AMD) has demonstrated the company #39;s first dual-core microprocessors at its Austin, Texas, office, the company said Tuesday.",Sci/Tech
Five Keys to the Game,"1. Score early, score often and keep the pressure on. The Rams need to strike early against the Seahawks for many reasons. The crowd will be raucous and an early lead for St.",Sports
British armed forces recognise first ever Satanist (AFP),"AFP - A technician in the Royal Navy has become the first serviceman in Britain's armed forces to be officially recognised as a Satanist, the defence ministry said.",World
E-Voting States Brace For Problems,Nearly 30 percent of U.S. voters will cast their 2004 ballots electronically.,Sci/Tech
Bryant accuser publicly identifies herself in civil lawsuit,The woman accusing Kobe Bryant of rape -- whose name has been widely published on the Internet despite her efforts to remain anonymous -- identified herself by name in a revised version of the lawsuit she filed against the NBA star ,Sports
Ill. Congressman's Son to Be on Ballot (AP),"AP - Democratic Party officials picked U.S. Rep. William Lipinski's son Tuesday to replace his father on the November ballot, a decision engineered by Lipinski after he announced his retirement and withdrew from the race four days earlier.",World
PeopleSoft board won #39;t negotiate takeover with Oracle,"NOVEMBER 22, 2004 (IDG NEWS SERVICE) - PeopleSoft Inc. won #39;t discuss a sale to Oracle Corp. for a price of \$24 per share, the company #39;s board of directors told Oracle CEO Larry Ellison in a letter on Saturday.",Business
GILL ON ROONEY," quot;All I can tell you is to reiterate what we put out to the stock exchange this morning. We confirmed, following media speculation, that we had made a bid for Wayne.",Sports
"Minn. Woman, Husband Acquitted in Mexico (AP)",AP - An American woman and her Mexican husband who said they were tortured by police and forced to confess to killing a Mexican girl were acquitted Friday of the murder charges.,World
Update 1: Snow Says US Dealing With Budget Deficit,"US Treasury Secretary John Snow reassured critics Wednesday that America is dealing with its huge budget and trade deficits, but discounted any suggestions of official intervention to prop up the ailing US dollar.",Business
Uefa Cup Wednesday Preview,"Middlesbrough, Partzan and Villarreal have all booked their place in the next round of the Uefa Cup, but today will decide who tops Group E. Boro face off against Partizan possibly without the services of George Boateng.",Sports
Simms suffers shoulder injury,"New Orleans, LA (Sports Network) - Tampa Bay quarterback Chris Simms left in the first quarter of Sunday #39;s game against New Orleans with a left shoulder injury.",Sports
Housing Starts Rise Unexpectedly," WASHINGTON (Reuters) - U.S. housing starts unexpectedly  rose 0.6 percent in August to their highest level in five  months as low mortgage rates encouraged construction, but  permits fell more than anticipated, a government report showed  on Tuesday.",Business
 #39;No blandness #39; after radio merger,"Capital Radio and GWR #39;s merger will not mean any standardisation of programming, the stations insist. With 55 local analogue radio stations, 93 digital stations and a national frequency, the new group will broadcast to 18 million people.",Business
AOL adopts Microsoft anti-spam measures,America Online reversed course and said it would adopt a proposed technology from Microsoft designed to help beat back spam and other e-mail blights.,Sci/Tech
"Opera Sings Blues, Posting 3Q Losses Triple Last Year #39;s",Jupiter Research analyst Joe Wilcox said that Opera is making a smart move by spending more money on marketing. He said some fear and uncertainty remains about the security level of Microsoft #39;s ,Sci/Tech
Gates undaunted by Linux,"Speaking to technologists during an appearance at the Computer History Museum, Microsoft Chairman and Chief Software Architect Bill Gates touched on a number of topics, including Linux, Web services, grid computing and digital rights management.",Sci/Tech
SEC Gives Final Nod to Google #39;s IPO,"SAN JOSE, Calif. Aug. 18, 2004  The Securities and Exchange Commission granted final approval Wednesday to the paperwork required for Google Inc. #39;s initial public offering, paving the way for the Internet search giant to set a price for its shares and ...",Business
Black  amp; Decker Q3 earns leap 51,SAN FRANCISCO (CBS.MW) - Black  amp; Decker on Wednesday reported a 51 percent surge in third-quarter earnings reflecting strong demand in Dewalt and Price Pfister brands despite a slide in the company #39;s namesake product line.,Business
British-Irish Woman Kidnapped in Afghanistan,A UN election worker with dual British and Irish nationality was among three foreigners kidnapped in Afghanistan today. The three were seized at gunpoint in the capital Kabul this morning sparking fears of Iraq-style atrocities.,World
Medarex to Start Phase III Trial,Biopharmaceutical company Medarex Inc. said Monday that it reached a special protocol assessment agreement with the Food and Drug Administration to start a late-stage clinical trial for its MDX-010 drug as a combination treatment for melanoma patients.,Business
"Gunmen Kidnap Two Americans, Briton in Baghdad"," BAGHDAD (Reuters) - Gunmen snatched two Americans and a  Briton from a house in an affluent neighborhood of central  Baghdad on Thursday, the latest in a nearly six-month campaign  of abductions of foreigners in Iraq.",World
Pakistan in  #39;al-Qaeda #39; arrests,"At least five suspected terrorists, with alleged links to al Qaeda, have been arrested in Pakistan. It is claimed they had been plotting to launch suicide attacks on government leaders and the US Embassy.",World
SpaceShipOne just one flight away from X Prize,"MOJAVE, Calif. The SpaceShipOne aircraft is one flight away from clinching the Ansari X Prize, a 10-(m)million-dollar award for the first privately developed manned rocket to reach space twice within 14 days.",Sci/Tech
Homer-happy Cubs beat Bucs,"CHICAGO -- From the moment the Pirates saw the flags flapping in a 16 mph breeze toward left field Wednesday afternoon, it had the makings of a long day at Wrigley Field.",Sports
Coping with e-trash pileup ,"NEW YORK -- When Office Depot Inc. stores ran an electronics recycling drive last summer that accepted everything from cellphones to televisions, some stores were overwhelmed by the amount of e-trash they received.",Business
Chinese Official Disputes GM Claim (AP),AP - A top Chinese commerce official said Monday that General Motors Corp. hasn't provided enough evidence to prove that a local company copied one of its car models.,World
"Mourning, and glory","AVONDALE, Ariz. -- What should be a joyful and hopeful time for Jimmie Johnson has instead been bittersweet.",Sports
Wall Street star Quattrone jailed,"Frank Quattrone, once one of Wall Street's most celebrated bankers, is jailed for obstruction of justice.",Business
The valiant fight of the Bigley family,This fact has never been better evidenced than by watching the astonishing way in which the family of Iraq hostage Ken Bigley have waged their own campaign for his release.,World
Philadelphia Goes Wireless,"Since April, baseball fans attending San Francisco Giants home games at SBC Park have enjoyed wireless internet access if they bring a portable computer with them.",Sci/Tech
IMF #39;s Rato says US should cut budget deficit,"WASHINGTON : The United States should cuts its fiscal and trade deficits, while Europe and Japan should take steps to boost economic growth, IMF managing director Rodrigo Rato revealed.",Business
Defense deservedly proud of its contribution,Florida State players are rapidly learning than an excellent defense can cover up a multitude of mistakes. The Seminoles received yet another strong performance from their ,Sports
chipmaker Infineon admits price fixing,"German computer chipmaker Infineon Technologies AG has agreed to plead guilty to price fixing and will pay a \$160 million fine, the Justice Department announced Wednesday.",Business
Israeli air strike kills two militants in Nablus,"Two Palestinian militants were killed on Monday as Israeli Apache helicopters hit their car, Palestinian witnesses and medical sources said.",World
Rovers find more signs of liquid water on Mars,"Aging but still on the go, climbing in and around craters, tapping into the mysteries of strangely cracked rocks, the two roving vehicles Spirit and Opportunity have explored Mars about three times as long as originally scheduled.",Sci/Tech
Indonesia releases embassy attack footage,"Indonesian police on Saturday released security camera images of a truck bombing outside the Australian Embassy, and investigators found traces of explosives in a room rented by two Malaysian militants wanted in the blast.",World
"Bomb Blasts in Northeast India Kill 10, Wound 35"," GUWAHATI, India (Reuters) - A series of bomb blasts killed  nine people and wounded 35 in northeastern India on Saturday in  the deadliest attack since a cease-fire with the main  separatist group in Nagaland began seven years ago.",World
Update 2: Commerzbank to Cut 900 Banking Employees,"Commerzbank AG said Tuesday it had narrowed its third-quarter net loss but was slashing 900 of the 1,275 jobs in its investment banking division, practically eliminating the unprofitable department.",Business
Catholics Resist Wooing by Kerry and Bush (AP),"AP - Sen. John Kerry is having trouble wooing fellow Roman Catholics in Iowa and Wisconsin. President Bush is short of his expected Catholic count in Michigan and Minnesota. Once reliably Democratic, Catholics have become one of the most complicated and coveted swing voting blocs.",World
Beck's Brewer Sees Beer Demand Rising (Reuters),"Reuters - Belgium's Interbrew, which acquired\AmBev to create the world's biggest brewer, reiterated on\Thursday its higher volume and profit targets for 2004 as\demand began to recover from a weak summer.",Business
Moto GP: Rossi retains world title,Valentino Rossi is crowned world champion with victory at the Australian MotoGP.,World
Israel's Top Court Upholds Dropping of Sharon Case, JERUSALEM (Reuters) - Israeli Prime Minister Ariel Sharon  on Thursday won a final reprieve from criminal prosecution in a  bribery scandal that had threatened to topple him and derail  his plan to withdraw from the Gaza Strip.,World
Video Cameras at Movies Would Be Crime,Using video cameras to record films in movie theaters would become a federal crime punishable by up to six years in prison under a bill passed Tuesday by the House.,Sci/Tech
IBM unveils new Shark and midrange array,IBM presented two new enterprise-class storage arrays that feature compatible software that allows the boxes to be managed through a single interface and data to be replicated between them.,Sci/Tech
Sharon stands firm on withdrawing settlers,Israeli Prime Minister Ariel Sharon vowed yesterday not to yield to pressure by Jewish settlers to give up his plan to withdraw soldiers and settlers from the Gaza Strip and a portion of the West Bank.,World
All Change in Bundesliga Title Race,"Week Four threw up some surprising results over the weekend as current high-flyers had their wings clipped and new faces staked their claims in a title race that, although barely a month old, is already wide open.",Sports
Davenport Finds an Open Win Is No Sure Thing,"espite a four-tournament victory streak heading into the United States Open, Lindsay Davenport received a reminder today that her momentum could stop at any time.",Sports
Weisel settles charges,San Francisco investment bank Thomas Weisel Partners on Thursday agreed to pay \$12.5 million to settle allegations that some of the stock research the bank published during the Internet boom was tainted by conflicts of interest.,Business
A Glut of New and Used Cars,"The dramatic rise in leasing in the past decade, along with the alluring financing plans available, has made getting in a new car every two or four years easier and more tempting.",Business
Fidelity slashes index-fund fees,Fidelity Investments pays its mutual fund managers handsomely to do one thing: outsmart the stock market.,Business
"Mild Seven Renault F1 Team Preview, Japanese Grand Prix",The official Mild Seven Renault F1 Team Preview for the Japanese Grand Prix.,Sports
The Israeli Invasion of North Gaza,On Sept. 29th Members of the militant wing of Hamas fired a Qassam rocket across the Gaza border into the Israeli town of Sederot killing two small children.,World
Shareholders Let Bonuses Stand,Computer Associates International #39;s shareholders defeated a proposal yesterday that could have forced senior executives to give back performance-based bonuses.,Sci/Tech
Remembering pain of Lodz after decades of forgetting,"LODZ, PolandSam Weinreich remembers the last time he came to Radegast train station in Poland #39;s second-largest city - the day in 1944 he was forced into a cattle car and sent to Nazi Germany #39;s Auschwitz death camp.",World
"Risk norms for home, consumer loan to avoid asset bubble: RBI:","Business India: Mumbai, Oct 26 : Reserve Bank of India today said it will clamp risk containment norms and raise risk weightage for housing and consumer credit to avoid  quot;asset bubble quot; like condition and ensure sustainable growth in credit to these ",Business
E-Vote Machines: Secret Testing,"Even though tax money pays for voting machines, the three companies that certify the nation's voting technologies operate in secret. The reason? Their contracts with the voting machine makers specify secrecy.",Business
Divided SEC Likely to Ask Hedge Funds for More Data,A deeply divided Securities and Exchange Commission is expected on Tuesday to approve rules requiring all but the smallest hedge funds to register with the SEC and make their records available for examination.,Business
MPAA Files Movie Piracy Lawsuits,"Andrew Bridges, an intellectual property lawyer in the San Francisco office of Winston  amp; Strawn, said the MPAA could fare better than the recording industry, which has experienced slow progress ",Sci/Tech
Feeley Will Start Next Game for Dolphins (AP),"AP - Quarterback A.J. Feeley will remain in the Miami Dolphins' lineup  #151; at least for now. Feeley played well enough coming off the bench in the Dolphins' season-opening loss to earn a start this week at Cincinnati, coach Dave Wannstedt said Sunday.",Sports
French hostages fate hangs by a thread one month on,"BAGHDAD, Sept 17 (AFP) - A month after their capture in Iraq and in spite of relentless diplomatic networking by Paris, the fate of French reporters Georges Malbrunot and Christian Chesnot appears more uncertain than ever.",World
Ex-Boeing CFO guilty in hiring scam,Former Boeing Co. Chief Financial Officer Michael Sears pleaded guilty Monday to one felony count of aiding the illegal hiring of a US Air Force official to a top job at the company.,Business
"As media darling, Conte #39;s pushing it","No one knows where Jason Giambi goes from here, now that he has come clean about the dirty business of steroids and performance-enhancing drugs.",Sports
Police Play Down Fears of Post-Beslan Reprisals," VLADIKAVKAZ, Russia (Reuters) - Police in the Russian  region traumatized by the Beslan school siege played down  reprisal fears as mourning drew to a close, while locals  thought the shattered community was too exhausted for revenge.",World
Indian Muslim community growing,"India's Muslim community is growing much faster than other groups, new census figures suggest.",World
Virus writers elude Microsoft's bounty hunt,"A year on, and the company's \$1 million tip-off program has nabbed just one (alleged) virus writer. Is it a bust?\",Sci/Tech
Siemens SF65 Mobile Phone Digital Camera,"Siemens today unveiled the SF65 clamshell style mobile phone with a 1.3 megapixel camera, flash and four times zoom. The swivel style top end has a 16-bit internal colour display with a resolution of 128 x 160 pixels, and on the flip side the camera lens.",Sci/Tech
Explosion damages Muslim school in southern Netherlands town,"An explosion blew the door off a Muslim school in a southern Dutch town and shattered windows across the street Monday, Dutch television reported.",World
Christmas trees crop up all over,"TRAVERSE CITY - It may not replace cherries as the region #39;s signature farm crop, but the area #39;s Christmas tree industry is sprucing up all the same.",Business
Penn State heading in right direction,"After a spring in which Joe Paterno went from bad cop to really bad cop, the Nittany Lions responded with their finest season-opening performance in five years.",Sports
Knicks tighten defense in time,"When Stephon Marbury practically scraped the sky with a fourth-quarter jumper that barely beat the shot-clock buzzer and gave the Knicks a 12-point lead with 1:59 to play Saturday afternoon, Madison Square Garden began to empty.",Sports
From spam king to spymaster,"In what could prove to be one of the great second acts in Internet history, erstwhile king of spam Sanford Wallace takes center stage this week as exhibit A in a federal crackdown on invasive online advertising software.",Sci/Tech
Archaeologists Unearth Lost Military Camp (AP),"AP - Arrowheads that turn up in the mud after a heavy rain are common here, but now archaeologists are digging up broken bits of fine china, parts of military uniforms and even charred firewood, relics of one of the biggest Army camps in the earliest days of the republic that went unnoticed for two centuries.",Sci/Tech
"DNA fingerprinting not foolproof, research pioneer says","The genetic profiles held by police for criminal investigations are not sophisticated enough to prevent false identifications, according to the father of DNA fingerprinting.",Sci/Tech
Bucks sign Goldwire to replace James,"Free-agent guard Anthony Goldwire signed Wednesday with the Milwaukee Bucks after Mike James was placed on the injured list. James, who was expected to start at point guard, has a rib injury.",Sports
HP releases  quot;carrier quot; grade Linux for pigeons,"HP, THE SELLER OF tin and fag-free utopian ideals is flogging commodity, standards-based hardware and software, including Carrier Grade Linux, to telephone company Motorola. ",Sci/Tech
Clijsters and Hewitt call off engagement,The 21-year-old Belgian former world No 1 announced the split on her website but did not divulge any further details about the break-up of her long-term relationship with the 23 ,Sports
A Cautious Reformer as Indonesia's Next President,"Susilo Bambang Yudhoyono is considered a steady, broadly educated man who supports the secular tradition of Indonesia.",World
PRIVATE ROCKETSHIP TO SPACE AND BACK,The advent of space tourism is one step closer with the safe return this week of a private manned rocketship from the edge of space.,Sci/Tech
British canoe pair lose out,ATHENS (Reuters) - Slovakian twins Peter and Pavol Hochschorner have paddled to a stunning victory in the men #39;s two man canoe to retain the title they won in Sydney. ,Sports
Analysts concerned about longer-than-expected G5 delays,"AUGUST 17, 2004 (MACCENTRAL) - Analysts from Prudential Equity Group and UBS have warned over the past two days that longer than expected G5 delays from IBM Corp. is the near-term  quot;key risk quot; for Apple Computer Inc. ",Sci/Tech
Fed Debates Policy for Post-Greenspan Era (Reuters),"Reuters - Battle lines are drawn at the\Federal Reserve between those who favor formal inflation goals\and those who don't, and the debate is heating up ahead of the\coming retirement of Chairman Alan Greenspan.",Business
Semiconductors Offer a New Way to Cut the Cord,"HAT a liberating feeling it is to cut the cord and go wireless, taking a suddenly untethered laptop, for example, and heading for the couch or porch swing to work on the Internet.",Sci/Tech
IAAF launches investigation into Greek doping scandal,Track #39;s governing body began investigating Thursday whether two Greek sprinters who withdrew from the Olympics had tried repeatedly to avoid doping testers.,Sports
Sees its semiconductor unit outperforming market in 05,"LONDON (CBS.MW) - Philips Electronics, the largest consumer electronics maker in Europe, on Tuesday cautioned it expects flat sales in its semiconductor business in the fourth quarter and is seeing ongoing margin pressure in consumer electronics.",Business
SI.com,CHICAGO (Ticker) -- The Chicago Cubs appeared to receive a gift from first base umpire Mark Wegner leading off the bottom of the ninth.,Sports
360 local employees pink-slipped by Mondavi,"Robert Mondavi Corporation has laid off 360 Napa Valley employees, about a third of the company #39;s total workforce. Most of the layoffs are centered at the company #39;s flagship winery in Oakville ",Business
Moss goes through Vikings morning walkthrough,Minnesota Vikings head coach Mike Tice says his star receiver is looking better this week after being limited last week by a strained hamstring.,Sports
Suicide trio  #39;carried out attack #39;,"Police suspect the bomb attack on the Australian embassy in Indonesia was a suicide operation and that up to three militants may have died in the blast, a senior commander said.",World
BoE's King warns of bleaker times,"The UK's years of low inflation and falling unemployment may be over, Bank of England Governor Mervyn King warns.",Business
Abbas Needs Support In His Push for Peace,"By the News-Register. Mahmoud Abbas, the interim leader of the Palestinian Authority, has made it clear that he believes terrorist attacks aimed at Israelis must end if there is to be peace between his people and Israel.",World
SCO plans Web site for legal filings,"In the 17 months SCO Group has waged its multiple-lawsuit war over its alleged rights to Linux, Groklaw has been the festering thorn in the Utah software company #39;s side.",Sci/Tech
Kashmiri separatists cautiously welcome Indian offer,Kashmiri separatists gave a cautious welcome on Sunday to India #39;s offer to allow them to visit Pakistan and said it could help to restart a stalled dialogue process.,World
India and Pakistan to meet at UN,India and Pakistan will aim to push forward the peace process between them at talks in New York on Friday. Indian Prime Minister Manmohan Singh and Pakistani President Pervez Musharraf will meet on the sidelines of the UN General Assembly.,World
Ex-Vivendi Boss Is Fined 1 Million Euros,"French regulators fined Vivendi Universal (EAUG.PA: Quote, Profile, Research) and its former CEO Jean-Marie Messier one million euros each on Tuesday for ",Business
Wal-Mart misses comp-sales target,"November same-store sales growth was sharply below target, Wal-Mart Stores said Saturday. Free! Sign up here to receive our Before the Bell e-Newsletter!",Business
DC in pole position for Red Bull slot,STEWARTRY-born David Coulthard is favourite to book a seat in the Red Bull Racing team. The 33-year-old who was axed by McLaren-Mercedes at the end of the season has been on the lookout for a team for the 2005 season.,Sports
"Two Neptune-Mass Planets Found, Earth-Size Worlds Next (SPACE.com)","SPACE.com - Planet hunters have found two worlds roughly the mass of Neptune, each orbiting a star within 30 light-years of our solar system. The planets are likely gaseous or mixtures of ice and rock, but they might be barren rock worlds like Mercury.",Sci/Tech
A Gusher Of Cash For Domestic Drilling,"While the rest of the country frets over surging energy prices, a small but growing group of businesses is fueling a boom of sorts in the US oil patch.",Business
MOFA denies dollar diplomacy claim,Minister of Foreign Affairs Mark Chen (  ) yesterday denied allegations that the ministry was conducting dollar diplomacy under the guise of foreign aid to Costa Rica.,World
Merck's Vioxx Woes Weigh on Stocks,NEW YORK - Stocks were mixed Thursday after Merck   Co. said it would be forced to remove its best-selling Vioxx arthritis drug from the market due to serious health risks...,World
Heart Hospital Embraces Digital Future,"St. Francis Heart Hospital in Tulsa, Okla., was built to be digital from the ground up. By Marianne Kolbasuk McGee. While many existing hospitals across the country are attempting to transform from paper-burdened ",Sci/Tech
New MySQL Ready to Serve,MySQL AB has made version 4.1 of its database software available to the public after months of testing customer production deployments.,Sci/Tech
"Some 20,000 protest in Cologne against violence in the name of Islam (AFP)","AFP - Some 20,000 people took to the streets in the western German city of Cologne, waving German and Turkish flags, to protest against the use of violence in the name of Islam.",World
Microsoft Is No Threat To Google -- Yet,"In the past decade, searching the Web has grown from an academic experiment to a multibillion-dollar business. Microsoft has not been a player, being content to outsource its MSN Search service to rival Yahoo!",Sci/Tech
Egypt eyes possible link of 17 arrests to Sinai bombings,"CAIRO -- Egyptian authorities are investigating whether 17 suspected Al Qaeda members arrested while illegally entering Libya have any connection with last week's coordinated bombings at Sinai tourist resorts that killed 34 people, an Egyptian official said yesterday.",World
Conway Admits 'Vilifying' Oracle Bid,"The former chief executive of PeopleSoft admitted today that he responded to a hostile takeover bid from Oracle with a campaign of ""vilification.""",Business
Drought Unearths a Buried Treasure,"Due to a drought in Utah, Glen Canyon is on its way back  viewable in much of its former glory.",Sci/Tech
WORLD/ASIA,"vSAMARRA, Iraq, Nov 17 (AFP): Saboteurs attacked a domestic oil pipeline west of the restive Iraqi city of Samarra Wednesday in the latest in a barrage of attacks against Iraq #39;s crucial insustry, police said.",World
"World ban on human cloning, UK stands up to US pressure",Great Britains best scientists are standing up to American government pressure to get a worldwide ban on all types of human cloning by backing an international campaign against American efforts.,Sci/Tech
Arafat: Doctors to Carry Out New Tests,"Having ruled out leukaemia, French doctors were trying for a third day to determine what was causing the dramatic deterioration in Palestinian leader Yasser Arafats health.",World
VW Considers Building Cars in U.S. -Paper," FRANKFURT (Reuters) - Continued depreciation in the dollar  is forcing Europe's largest carmaker Volkswagen to consider  building VW and Audi brand cars in the United States, the  company's sales and marketing head said.",Business
Dollar Indecisive Ahead of U.S. Data, LONDON (Reuters) - The dollar erased earlier losses to  stand steady near recent three-week highs against the euro on  Friday as investors became reluctant to take big bets ahead of  U.S. data and a speech by Federal Reserve chief Alan Greenspan.,Business
Hawaii QB credits team for record career,"Ask Hawaii #39;s Timmy Chang about the 94 touchdowns he has thrown, and he talks about his great receivers and blockers. Ask about his 14,791 yards passing, and he credits his coaches for believing in him.",Sports
OPEC May Decide Oil Price Target in Sept.,"OPEC may set a new target range for oil prices next week and would like to see crude down from current lofty levels closer to \$30 a barrel, the head of the producers #39; cartel said on Wednesday.",Business
UN warning over Afghan opium,"Afghanistan #39;s poppy cultivation increased by almost two-thirds this year and accounts for 87 of world supply of raw opium, a UN report said yesterday, warning of the country #39;s descent into a drugs-based economy.",World
News: House drops plans to move cybersecurity role to White House,The Associated Press By Ted Bridis,Sci/Tech
Seoul Asks Bush to Focus on N.Korea Nuclear Crisis, SEOUL (Reuters) - South Korean President Roh Moo-hyun  called newly re-elected President Bush and won his agreement  that ending the nuclear crisis involving the isolated communist  North should be a goal of his second term in office.,World
Aid worker pleads for her life,"Margaret Hassan, the kidnapped Iraq director of the aid group CARE International, pleaded for her life in a video that played on the Al-Jazeera Arabic news network Friday ",World
Michael Wilbon,"It #39;s not what Washington has grown accustomed to, the Redskins being a defense-first team. From Otto Graham to Sonny to Joe Gibbs riding Riggo, Theismann and Art Monk, it #39;s almost always been about offense.",Sports
Nordic Nations Prevail in Surveys of World #39;s Hot Economies,Forget the stereotypes about Scandinavian socialism and how its high taxes and expensive public health care system are destroying private enterprise.,Business
Sri Lanka mulls Tiger threat to return to war,"Colombo: Sri Lanka #39;s president and top aides were Monday studying the latest Tamil Tiger threat to return to their protracted war amid mounting tension in embattled regions, officials said.",World
"Despite Google, we still need good libraries","GOOGLE, with whom I spend more time than with my loved ones, is planning to put the contents of the worlds greatest libraries on line, including the Bodleian in Oxford and those of Harvard and Stanford in America.",Sci/Tech
Padres Blank Dodgers 3-0,"LOS ANGELES - Adam Eaton allowed five hits over seven innings for his career-high 10th victory, Brian Giles homered for the second straight game, and the San Diego Padres beat the Los Angeles Dodgers 3-0 Thursday night.    The NL West-leading Dodgers' lead was cut to 2 1/2 games over San Francisco - their smallest since July 31...",World
Mayfield Chasing Win,Jeremy Mayfield needs more than a victory at Dover International Speedway to get back in the thick of the Nextel Cup championship race.,Sports
Clinton a Little Scared of Bypass Surgery,"NEW YORK - Bill Clinton said he was ""a little scared, but not much"" of undergoing heart bypass surgery, but was looking forward to a swift recovery and resuming normal activities such as jogging.    The former president was hospitalized Friday with chest pains and shortness of breath...",World
Iran Says Uranium Facility Almost Complete (AP),"AP - A uranium conversion facility in Iran is nearing completion, a top official said Sunday, only days after European countries offered a deal in which Iran would reportedly have to give up all nuclear activities.",World
Impatience with Sudanese government triggers violence,"MORNIE, Sudan -- They descended on the government official with sticks, shouting that he was no better than the Arab horseman they say attacked them and forced them from their homes and leaving him a bloodied illustration of the rage of Darfur's displaced.",World
Knocked Down By An Egg: TV Shows Attack On Ukrainian Premier,"KIEV, (AFP) - Ukrainian Prime Minister Viktor Yanukovich, who was briefly hospitalized after being knocked down during an election campaign scuffle on Friday, was in fact hit by nothing more dangerous than an egg, according to TV pictures.",World
Acker-Macosko Shoots 11-Under 60 at Longs (AP),"AP - Anna Acker-Macosko shot an 11-under 60 on Sunday at the Longs Drugs Challenge, one stroke off Annika Sorenstam's tour record.",Sports
New Company Launches Google Challenge,"Google Inc. has made its name on advanced-search technology, but a company that launched Thursday with what could prove to be a better idea is poised to be a potential headache for Google as it battles against Yahoo Inc.",Sci/Tech
Ask Jeeves personalises Web searches,"Ask Jeeves, the third-biggest US Web search provider, has unveiled MyJeeves, a new product that helps users personalise their Internet searches.",Sci/Tech
New Worm Hijacks Webcams,"A new worm can spy on users by hijacking their Web cameras, a security firm warned Monday. The Rbot.gr worm -- the latest in a long line of similar worms; one security firm estimates that more than 4,000 variations ",Sci/Tech
Dollar posted a new record low,"Dollar fell to an all-time low of \$1.3068 against euro on Wednesday. Against yen, it slipped to 103.66, the lowest level since April 1. Market analysts contemplate the possibility of dollar-euro exchange rate reaching \$1.35 and 100 yen within months.",Business
Congress Probes Insurance Industry Scandal (AP),"AP - Congress is examining the scandal rippling through the insurance industry, with its largest brokerage accused of bid rigging and price fixing amid high-level resignations, employee layoffs and guilty pleas by some executives.",World
Next President Could Get to Reshape High Court (Reuters),"Reuters - The winner of the presidential\election could reshape the Supreme Court and could have a\long-lasting impact on important issues such as abortion, gay\marriages and church-state separation.",World
Turkey abandons plan for adultery to become a crime,Turkey yesterday shelved plans to criminalise adultery which were threatening the country #39;s prospects of joining the European Union.,World
UK soldiers #39; killer may be European,"A suicide bomber who killed three Black Watch soldiers was white, suggesting British troops are being targeted by European terrorists.",World
"Debutant Hauritz, Gillespie skittle out India for 104",Off spinner Nathan Hauritz grabbed three wickets on his debut after Jason Gillespie had ripped the heart out of the top order as Australia skittled out India for ,Sports
Adaptec: Friend or foe?,The company is changing tack under CEO Robert Stephens and may soon find itself in direct competition with several longtime partners.,Sci/Tech
Afghan Kidnappings Prompt Big Security Review (Reuters),Reuters - The abduction of three foreign election\workers in Afghanistan could force aid groups to reduce their\international staff in a country that just finished counting\votes in its first direct presidential election.,World
US Hostage Wife Pleads for Mercy,"(BBC) -- The wife of an American taken hostage with two others in Baghdad has appealed on television for their release. Patty Hensley said her husband Jack was  quot;a simple, generous man quot; who was  quot;there to help the Iraqi people quot;.",World
Not winning was real error,"In the immortal words of Casey Stengel:  quot;Can't anybody here play this game? quot; That was the title of Jimmy Breslin's classic book about manager Stengel and his wretchedly incompetent 1962 New York Mets, an expansion team that lost 120 games.",Sports
